               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.091703,            0.058716,            0.045864,            0.019362,             0.29773,            0.017297,            0.004617,            0.069118,            0.055824,            0.043492,              0.0705,           0.0032778,           0.0032778
                   1,            0.071429,            0.063312,            0.042725,            0.027828,             0.49736,            0.026492,             0.00862,            0.059698,            0.054372,            0.041976,            0.040336,           0.0064475,           0.0064475
                   2,            0.065391,            0.059804,            0.041417,            0.052818,             0.21989,            0.036823,            0.010411,            0.063287,            0.053959,            0.039434,            0.010008,           0.0094522,           0.0094522
                   3,            0.061111,            0.057396,            0.038106,             0.11423,             0.24381,            0.066001,            0.017527,            0.059093,            0.054075,            0.035864,           0.0092575,           0.0092575,           0.0092575
                   4,            0.059011,            0.056609,            0.035996,             0.22602,             0.34863,             0.16137,            0.047533,            0.054264,             0.04754,            0.034825,           0.0092575,           0.0092575,           0.0092575
                   5,             0.05669,              0.0547,            0.034611,             0.25922,             0.37445,             0.21003,            0.064531,            0.051693,            0.049356,            0.033504,             0.00901,             0.00901,             0.00901
                   6,            0.055974,            0.053886,            0.033867,             0.40143,              0.4408,              0.3234,               0.112,             0.05091,            0.045641,            0.031747,           0.0087625,           0.0087625,           0.0087625
                   7,            0.054362,            0.053887,            0.032686,             0.38443,             0.49029,             0.33407,             0.10777,            0.051515,            0.043214,            0.031482,            0.008515,            0.008515,            0.008515
                   8,            0.053696,            0.050735,            0.031647,             0.41315,             0.45159,             0.35943,             0.12336,            0.049011,             0.04375,            0.031517,           0.0082675,           0.0082675,           0.0082675
                   9,            0.052475,            0.051568,            0.031148,             0.42093,             0.51505,             0.38754,             0.13128,            0.048758,            0.042734,            0.029287,             0.00802,             0.00802,             0.00802
                  10,            0.051631,            0.050655,            0.030572,             0.40414,             0.44298,             0.31306,             0.09596,             0.05212,            0.049231,            0.029947,           0.0077725,           0.0077725,           0.0077725
                  11,            0.051636,            0.050448,            0.029771,             0.45359,             0.51484,             0.45432,             0.17643,            0.047068,            0.040883,            0.029802,            0.007525,            0.007525,            0.007525
                  12,            0.050971,            0.048935,            0.028665,             0.43548,             0.46738,             0.40224,             0.13989,            0.048134,            0.044392,            0.026355,           0.0072775,           0.0072775,           0.0072775
                  13,            0.050388,            0.049395,            0.027316,             0.66374,             0.55096,             0.58892,             0.23955,            0.045412,             0.03942,             0.02596,             0.00703,             0.00703,             0.00703
                  14,            0.049452,            0.048935,            0.026331,              0.5348,             0.48785,             0.45482,              0.1623,            0.051497,            0.043977,            0.025886,           0.0067825,           0.0067825,           0.0067825
                  15,            0.049301,            0.048801,            0.025291,              0.7132,             0.58921,             0.64313,             0.25588,            0.045304,            0.039159,            0.021664,            0.006535,            0.006535,            0.006535
                  16,            0.048708,            0.047754,            0.023767,             0.70255,             0.59182,             0.63598,             0.23824,            0.046758,            0.038384,            0.024669,           0.0062875,           0.0062875,           0.0062875
