               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.043108,            0.043433,            0.014632,             0.80877,             0.64349,             0.72728,             0.31585,            0.042882,            0.037129,            0.017877,            0.006436,            0.006436,            0.006436
                  38,            0.042831,            0.043007,            0.014175,             0.87984,             0.71183,             0.80532,              0.4013,            0.039424,            0.034231,            0.017075,            0.006337,            0.006337,            0.006337
                  39,            0.042664,            0.043024,             0.01395,             0.82589,             0.71104,             0.77361,             0.35569,            0.041631,            0.036174,            0.017715,            0.006238,            0.006238,            0.006238
                  40,            0.042306,            0.041626,            0.014073,             0.81026,             0.69561,             0.75422,             0.33579,            0.042351,            0.037681,            0.018207,            0.006139,            0.006139,            0.006139
                  41,            0.042357,            0.042417,            0.013654,              0.7786,             0.68189,             0.73977,              0.2955,            0.043362,            0.039656,            0.016604,             0.00604,             0.00604,             0.00604
                  42,            0.041261,            0.042483,            0.012861,              0.8138,             0.67978,             0.76554,             0.32935,            0.042975,            0.038553,            0.017483,            0.005941,            0.005941,            0.005941
                  43,            0.041731,            0.041902,            0.013114,             0.84264,              0.6961,             0.76984,              0.3441,            0.041731,            0.036921,            0.018733,            0.005842,            0.005842,            0.005842
                  44,            0.041561,            0.041918,            0.012684,             0.83915,             0.71901,             0.79687,             0.38454,            0.041127,            0.036025,            0.017583,            0.005743,            0.005743,            0.005743
                  45,            0.040872,            0.041945,            0.012559,             0.86517,              0.7554,             0.82943,             0.42677,            0.039319,            0.034896,             0.01661,            0.005644,            0.005644,            0.005644
                  46,            0.040936,            0.041396,            0.012447,             0.84016,             0.74871,             0.80155,             0.39472,            0.040018,            0.034782,            0.015901,            0.005545,            0.005545,            0.005545
                  47,            0.040586,            0.041119,            0.012138,             0.87934,             0.73952,             0.81159,             0.38633,            0.042132,            0.034229,             0.01764,            0.005446,            0.005446,            0.005446
                  48,            0.040419,            0.040964,            0.011578,             0.82513,             0.73206,             0.78238,             0.33623,            0.041965,            0.038078,            0.016851,            0.005347,            0.005347,            0.005347
                  49,            0.040092,            0.040977,            0.011748,              0.8796,             0.72906,             0.80916,             0.39682,            0.039916,            0.035324,            0.016753,            0.005248,            0.005248,            0.005248
                  50,            0.039783,            0.040694,             0.01142,             0.87236,             0.73639,             0.81586,             0.39601,             0.04086,            0.035201,            0.015312,            0.005149,            0.005149,            0.005149
                  51,            0.039738,            0.039989,            0.011037,             0.81698,             0.73922,              0.8045,             0.36718,            0.040968,            0.036985,            0.015917,             0.00505,             0.00505,             0.00505
                  52,             0.03965,            0.040013,            0.010937,             0.87007,               0.775,             0.83075,             0.41826,            0.039444,            0.034228,            0.016501,            0.004951,            0.004951,            0.004951
                  53,            0.039016,            0.039276,            0.010746,             0.86641,             0.73984,             0.79927,              0.4052,            0.040471,            0.036934,            0.017255,            0.004852,            0.004852,            0.004852
                  54,             0.03875,            0.039718,            0.010621,             0.79375,             0.73092,             0.76095,             0.33733,            0.042851,            0.040266,              0.0192,            0.004753,            0.004753,            0.004753
                  55,            0.038539,            0.039398,            0.010293,              0.8224,             0.72514,             0.78438,             0.34207,            0.041764,            0.039317,            0.017187,            0.004654,            0.004654,            0.004654
                  56,            0.038177,            0.040131,           0.0099465,             0.83838,             0.76946,             0.82525,             0.40491,            0.040591,            0.035764,            0.017098,            0.004555,            0.004555,            0.004555
                  57,            0.038158,            0.039752,            0.010032,              0.8686,             0.75957,             0.82531,             0.43886,            0.038918,            0.033211,             0.01723,            0.004456,            0.004456,            0.004456
                  58,            0.037797,            0.038757,           0.0098367,             0.89205,             0.73286,             0.82561,             0.40096,            0.040658,            0.035778,            0.016871,            0.004357,            0.004357,            0.004357
                  59,             0.03746,            0.040251,           0.0096576,             0.87614,             0.80556,             0.85256,             0.45122,            0.038174,            0.033393,            0.016249,            0.004258,            0.004258,            0.004258
                  60,            0.037343,             0.03814,           0.0095929,              0.8642,             0.78598,             0.83371,             0.42206,            0.039525,            0.034055,            0.016956,            0.004159,            0.004159,            0.004159
                  61,            0.037278,            0.038114,           0.0097891,             0.82396,             0.75987,             0.82645,             0.40811,            0.039778,            0.035301,            0.017284,             0.00406,             0.00406,             0.00406
                  62,            0.036789,            0.038829,           0.0095771,             0.85234,             0.77705,             0.83155,             0.40849,            0.039934,             0.03576,            0.019094,            0.003961,            0.003961,            0.003961
